pdate,name,weekday,volumn,open,high,low,close,adjclose
1998/5/28,^TWII,4,0,8147.419922,8147.419922,8051.709961,8124.47046,8124.47046
1998/5/29,^TWII,5,0,8119.25,8119.25,7895.149902,7903.311108,7903.311108
1998/6/1,^TWII,1,0,7860.049805,7860.049805,7574.509766,7606.222345,7606.222345
1998/6/2,^TWII,2,0,7671.209961,7671.209961,7523.5,7565.612629,7565.612629
1998/6/3,^TWII,3,0,7631.97998,7699.47998,7598.160156,7643.172406,7643.172406
1998/6/4,^TWII,4,0,7563.629883,7563.629883,7389.799805,7425.932961,7425.932961
1998/6/5,^TWII,5,0,7582.109863,7585.290039,7418.930176,7505.552789,7505.552789
1998/6/8,^TWII,1,0,7601.310059,7645.390137,7560.790039,7591.242419,7591.242419
1998/6/9,^TWII,2,0,7607.580078,7607.580078,7448.359863,7455.602775,7455.602775
1998/6/10,^TWII,3,0,7377.049805,7422.649902,7220.129883,7223.10362,7223.10362
1998/6/11,^TWII,4,0,7073.220215,7238.919922,7073.220215,7210.714017,7210.714017
1998/6/12,^TWII,5,0,7121.859863,7199.47998,7099.540039,7117.083986,7117.083986
1998/6/15,^TWII,1,0,7166.959961,7283.830078,7111.759766,7283.803595,7283.803595
1998/6/16,^TWII,2,0,7174.72998,7444.060059,7170.759766,7404.243098,7404.243098
1998/6/17,^TWII,3,0,7486.540039,7548,7445.919922,7466.352736,7466.352736
1998/6/18,^TWII,4,0,7658.350098,7771.759766,7633.720215,7768.281814,7768.281814
1998/6/19,^TWII,5,0,7723.279785,7815.109863,7700.22998,7754.401982,7754.401982
1998/6/22,^TWII,1,0,7867.410156,7867.410156,7678.700195,7692.882186,7692.882186
1998/6/23,^TWII,2,0,7729.910156,7729.910156,7598.27002,7633.332109,7633.332109
1998/6/24,^TWII,3,0,7733.709961,7783.990234,7659.589844,7670.682071,7670.682071
1998/6/25,^TWII,4,0,7762.319824,7777.290039,7695.740234,7722.612058,7722.612058
1998/6/26,^TWII,5,0,7717.370117,7771.649902,7656.129883,7681.93203,7681.93203
1998/6/29,^TWII,1,0,7679.680176,7679.680176,7533.040039,7535.702581,7535.702581
1998/6/30,^TWII,2,0,7606.149902,7606.149902,7517.330078,7548.782612,7548.782612
1998/7/2,^TWII,4,0,7654.009766,7823.240234,7647.709961,7817.081441,7817.081441
1998/7/3,^TWII,5,0,7797.919922,7872.240234,7746.450195,7758.601673,7758.601673
1998/7/6,^TWII,1,0,7949.120117,7974.27002,7894.180176,7894.821393,7894.821393
1998/7/7,^TWII,2,0,7947.529785,7947.529785,7829.870117,7845.941688,7845.941688
1998/7/8,^TWII,3,0,7908,7938.97998,7887.810059,7936.790967,7936.790967
1998/7/9,^TWII,4,0,8044.959961,8079.740234,7947.529785,7947.500889,7947.500889
1998/7/10,^TWII,5,0,7925.25,7927.819824,7839.799805,7883.131494,7883.131494
1998/7/13,^TWII,1,0,7818.359863,7869.629883,7803.560059,7815.501369,7815.501369
1998/7/14,^TWII,2,0,7888.109863,7895.459961,7789.220215,7789.191894,7789.191894
1998/7/15,^TWII,3,0,7853.72998,7875.910156,7832.169922,7875.88152,7875.88152
1998/7/16,^TWII,4,0,7933.77002,7949.509766,7904.77002,7924.81103,7924.81103
1998/7/17,^TWII,5,0,8013.240234,8040.149902,7985.799805,8032.830657,8032.830657
