pdate,weekday,column,open,high,low,close,adjclose,change,changePercent
2003/9/3,3,4759000,5751.370117,5756.080078,5673.180176,5673.180176,5673.159549,-42.770019,-0.007482574
2003/9/4,4,3673400,5681.259766,5702.160156,5624.75,5625.629883,5625.609429,-47.550293,-0.008381594
2003/9/5,5,3211800,5670.299805,5709.629883,5620.290039,5639.029785,5639.009282,13.399902,0.002381938
2003/9/8,1,3377600,5638.200195,5751.990234,5609.240234,5727.009766,5726.988943,87.979981,0.015601971
2003/9/9,2,4561600,5786.970215,5800.799805,5680.689941,5680.689941,5680.669287,-46.319825,-0.00808796
2003/9/10,3,3701800,5654.060059,5683.850098,5591.330078,5623.430176,5623.40973,-57.259765,-0.01007972
2003/9/12,5,2566200,5627.350098,5654.439941,5600.180176,5645.279785,5645.25926,21.849609,0.003885459
2003/9/15,1,2406800,5640.220215,5651.149902,5606.060059,5623.220215,5623.199769,-22.05957,-0.003907613
2003/9/16,2,2859400,5606.169922,5699.259766,5605.990234,5699.259766,5699.239044,76.039551,0.013522421
2003/9/17,3,3794600,5757.25,5779.950195,5735.959961,5747.140137,5747.119241,47.880371,0.008401156
2003/9/18,4,3522600,5747.22998,5758.680176,5697.819824,5750.810059,5750.789149,3.669922,0.000638565
2003/9/19,5,4680200,5790.379883,5809.430176,5747.100098,5757.910156,5757.889221,7.100097,0.001234626
2003/9/22,1,3734200,5732.810059,5750.140137,5675.75,5675.75,5675.729364,-82.160156,-0.014269093
2003/9/23,2,2909600,5650.350098,5686.459961,5641.709961,5684.009766,5683.989099,8.259766,0.001455273
2003/9/24,3,3805400,5704.009766,5722.359863,5678.640137,5722.359863,5722.339057,38.350097,0.006747015
2003/9/25,4,3521800,5634.25,5695.459961,5633.069824,5688.22998,5688.209299,-34.129883,-0.005964302
2003/9/26,5,2865400,5690.870117,5703.75,5650.109863,5650.109863,5650.08932,-38.120117,-0.006701578
2003/9/29,1,2434000,5645.080078,5668.919922,5627.430176,5643.5,5643.479481,-6.609863,-0.001169865
2003/9/30,2,2416200,5672.77002,5677.120117,5611.410156,5611.410156,5611.389754,-32.089844,-0.00568616
2003/10/1,3,2268400,5599.100098,5613.180176,5560.549805,5581.660156,5581.639862,-29.75,-0.005301698
2003/10/2,4,3352200,5644.5,5703.379883,5639.97998,5699.859863,5699.839139,118.199707,0.021176443
2003/10/3,5,3996400,5716.790039,5759,5701.870117,5747.790039,5747.769141,47.930176,0.00840901
2003/10/6,1,5806800,5810.839844,5857.540039,5782.890137,5851.200195,5851.178921,103.410156,0.01799129
2003/10/7,2,4933800,5873.330078,5879.680176,5828.049805,5856.680176,5856.658882,5.479981,0.000936557
2003/10/8,3,4938000,5860.399902,5867.089844,5808.189941,5821.799805,5821.778637,-34.880371,-0.005955656
